CustomerKey,CustomerID,CustomerName,CustomerType,PriorityLevel,Channel,FirstOrderDate,GeographyKey
39,CUST000039,Customer 39,B2C,Medium,Online,2023-05-03,2
40,CUST000040,Customer 40,B2B,Medium,Retail,2022-10-29,5
41,CUST000041,Customer 41,B2C,Medium,Partner,2023-11-11,7
42,CUST000042,Customer 42,B2C,Medium,Direct,2023-07-18,5
43,CUST000043,Customer 43,B2C,High,Online,2022-11-10,12
44,CUST000044,Customer 44,B2C,High,Retail,2022-07-17,4
45,CUST000045,Customer 45,B2C,Medium,Partner,2022-08-10,2
46,CUST000046,Customer 46,B2C,High,Partner,2022-07-18,3
47,CUST000047,Customer 47,B2B,Low,Retail,2022-11-06,5
48,CUST000048,Customer 48,B2B,Low,Partner,2022-02-16,12
49,CUST000049,Customer 49,B2C,High,Online,2022-05-10,10
50,CUST000050,Customer 50,B2C,Medium,Direct,2022-10-19,6
51,CUST000051,Customer 51,B2B,Medium,Direct,2022-07-08,2
52,CUST000052,Customer 52,B2C,Medium,Online,2022-03-08,10
53,CUST000053,Customer 53,B2B,High,Retail,2023-10-07,13
54,CUST000054,Customer 54,B2C,High,Retail,2023-07-31,2
55,CUST000055,Customer 55,B2C,Low,Retail,2023-07-26,13
56,CUST000056,Customer 56,B2C,Medium,Direct,2023-06-20,5
57,CUST000057,Customer 57,B2C,Medium,Online,2023-08-26,10
58,CUST000058,Customer 58,B2B,Low,Retail,2022-04-12,5
59,CUST000059,Customer 59,B2B,High,Retail,2023-11-08,3
60,CUST000060,Customer 60,B2B,High,Online,2023-07-20,7
61,CUST000061,Customer 61,B2C,Medium,Online,2023-04-07,4
62,CUST000062,Customer 62,B2C,Low,Direct,2022-10-23,2
63,CUST000063,Customer 63,B2B,Medium,Retail,2023-12-05,7
64,CUST000064,Customer 64,B2B,Low,Retail,2022-04-28,5
65,CUST000065,Customer 65,B2B,High,Retail,2022-05-26,13
66,CUST000066,Customer 66,B2C,Medium,Online,2022-11-11,8
67,CUST000067,Customer 67,B2C,Low,Direct,2023-12-07,5
68,CUST000068,Customer 68,B2C,Medium,Online,2023-05-28,10
69,CUST000069,Customer 69,B2C,Low,Partner,2022-02-10,10
70,CUST000070,Customer 70,B2B,High,Retail,2022-09-14,11
71,CUST000071,Customer 71,B2B,Low,Partner,2023-08-13,10
72,CUST000072,Customer 72,B2B,Medium,Direct,2022-02-11,5
73,CUST000073,Customer 73,B2C,Low,Direct,2022-07-05,2
74,CUST000074,Customer 74,B2C,Medium,Partner,2023-04-27,6
75,CUST000075,Customer 75,B2B,High,Partner,2023-11-18,7
76,CUST000076,Customer 76,B2C,Medium,Direct,2023-12-12,13
77,CUST000077,Customer 77,B2B,Medium,Online,2023-07-18,6
78,CUST000078,Customer 78,B2C,High,Direct,2022-09-16,9
79,CUST000079,Customer 79,B2C,Medium,Online,2022-01-02,4
80,CUST000080,Customer 80,B2C,Low,Direct,2023-06-15,11
81,CUST000081,Customer 81,B2B,High,Partner,2023-03-29,9
82,CUST000082,Customer 82,B2C,Medium,Direct,2022-05-15,2
83,CUST000083,Customer 83,B2B,Low,Retail,2022-01-30,5
84,CUST000084,Customer 84,B2B,Low,Direct,2023-07-19,2
85,CUST000085,Customer 85,B2B,Medium,Online,2022-08-19,11
86,CUST000086,Customer 86,B2C,Low,Partner,2022-06-07,9
87,CUST000087,Customer 87,B2C,Medium,Direct,2023-12-24,8
88,CUST000088,Customer 88,B2C,Low,Retail,2022-09-07,7
89,CUST000089,Customer 89,B2B,High,Partner,2022-07-15,13
90,CUST000090,Customer 90,B2C,Low,Partner,2023-03-01,1
91,CUST000091,Customer 91,B2C,Low,Direct,2022-10-17,3
92,CUST000092,Customer 92,B2C,Medium,Partner,2023-04-03,9
93,CUST000093,Customer 93,B2C,Medium,Partner,2023-07-11,4
94,CUST000094,Customer 94,B2B,Low,Direct,2023-12-16,4
95,CUST000095,Customer 95,B2B,Medium,Direct,2023-02-25,12
96,CUST000096,Customer 96,B2C,Low,Retail,2023-01-26,8
97,CUST000097,Customer 97,B2B,Low,Partner,2022-02-07,2
98,CUST000098,Customer 98,B2B,Low,Direct,2023-03-27,1
99,CUST000099,Customer 99,B2C,Low,Retail,2022-05-28,2
100,CUST000100,Customer 100,B2C,Medium,Direct,2023-04-26,11
101,CUST000101,Customer 101,B2C,Low,Direct,2022-03-24,6
102,CUST000102,Customer 102,B2C,Low,Online,2023-10-04,10
103,CUST000103,Customer 103,B2B,Low,Partner,2022-03-12,4
104,CUST000104,Customer 104,B2C,High,Online,2022-04-03,8
105,CUST000105,Customer 105,B2C,High,Online,2022-06-20,6
106,CUST000106,Customer 106,B2C,Medium,Partner,2022-02-27,7
107,CUST000107,Customer 107,B2B,Low,Direct,2022-05-30,10
108,CUST000108,Customer 108,B2B,High,Retail,2023-11-30,2
109,CUST000109,Customer 109,B2C,Low,Retail,2023-09-17,8
110,CUST000110,Customer 110,B2B,High,Direct,2023-08-21,11
111,CUST000111,Customer 111,B2C,Medium,Online,2022-09-18,13
112,CUST000112,Customer 112,B2C,Low,Retail,2023-04-22,2
113,CUST000113,Customer 113,B2C,Low,Partner,2023-03-29,11
114,CUST000114,Customer 114,B2C,Medium,Partner,2023-03-11,4
115,CUST000115,Customer 115,B2C,High,Retail,2023-01-29,7
116,CUST000116,Customer 116,B2C,Low,Partner,2023-08-09,12
117,CUST000117,Customer 117,B2B,Low,Direct,2022-10-30,5
118,CUST000118,Customer 118,B2B,Low,Direct,2022-01-09,5
119,CUST000119,Customer 119,B2C,High,Retail,2022-08-24,10
120,CUST000120,Customer 120,B2B,Low,Online,2022-09-14,11
121,CUST000121,Customer 121,B2B,Medium,Direct,2023-10-24,1
122,CUST000122,Customer 122,B2C,Low,Retail,2023-08-17,2
123,CUST000123,Customer 123,B2C,Low,Direct,2022-10-30,3
124,CUST000124,Customer 124,B2B,Low,Partner,2022-07-25,9
125,CUST000125,Customer 125,B2C,High,Partner,2023-05-29,8
126,CUST000126,Customer 126,B2C,High,Direct,2022-10-30,2
127,CUST000127,Customer 127,B2B,Low,Direct,2022-05-25,13
128,CUST000128,Customer 128,B2C,High,Direct,2023-07-25,1
129,CUST000129,Customer 129,B2B,Medium,Partner,2022-09-28,11
130,CUST000130,Customer 130,B2C,Low,Direct,2023-11-20,11
131,CUST000131,Customer 131,B2B,Low,Retail,2023-01-16,8
132,CUST000132,Customer 132,B2C,Low,Retail,2022-01-26,11
133,CUST000133,Customer 133,B2C,Low,Partner,2022-03-06,11
134,CUST000134,Customer 134,B2B,High,Online,2023-02-23,1
135,CUST000135,Customer 135,B2C,High,Online,2022-11-08,4
136,CUST000136,Customer 136,B2B,Medium,Direct,2023-07-05,6
137,CUST000137,Customer 137,B2C,Low,Retail,2023-11-18,7
138,CUST000138,Customer 138,B2B,Medium,Direct,2023-11-02,5
139,CUST000139,Customer 139,B2C,High,Direct,2022-02-03,8
140,CUST000140,Customer 140,B2C,High,Partner,2022-08-30,9
141,CUST000141,Customer 141,B2C,High,Direct,2023-10-23,5
142,CUST000142,Customer 142,B2B,Medium,Online,2022-07-14,11
143,CUST000143,Customer 143,B2B,High,Partner,2022-08-06,4
144,CUST000144,Customer 144,B2B,High,Retail,2022-05-09,10
145,CUST000145,Customer 145,B2B,Medium,Retail,2022-08-10,13
146,CUST000146,Customer 146,B2B,Medium,Retail,2023-09-03,3
147,CUST000147,Customer 147,B2C,High,Online,2023-07-08,11
148,CUST000148,Customer 148,B2B,High,Partner,2022-01-27,13
149,CUST000149,Customer 149,B2C,High,Retail,2022-09-01,5
150,CUST000150,Customer 150,B2B,Low,Direct,2022-02-23,9
151,CUST000151,Customer 151,B2B,Medium,Direct,2022-04-27,13
152,CUST000152,Customer 152,B2B,Medium,Retail,2023-01-06,10
153,CUST000153,Customer 153,B2C,Medium,Online,2022-02-14,1
154,CUST000154,Customer 154,B2C,Medium,Online,2023-05-06,8
155,CUST000155,Customer 155,B2C,High,Online,2023-12-31,6
156,CUST000156,Customer 156,B2B,High,Retail,2023-09-15,5
157,CUST000157,Customer 157,B2C,Medium,Partner,2023-10-02,8
158,CUST000158,Customer 158,B2C,High,Online,2023-06-02,11
159,CUST000159,Customer 159,B2B,Medium,Direct,2023-10-29,4
160,CUST000160,Customer 160,B2C,Medium,Direct,2023-02-28,7
161,CUST000161,Customer 161,B2C,Medium,Partner,2022-04-08,11
162,CUST000162,Customer 162,B2C,High,Direct,2022-09-19,2
163,CUST000163,Customer 163,B2B,High,Direct,2022-04-04,2
164,CUST000164,Customer 164,B2B,Low,Online,2023-01-17,10
165,CUST000165,Customer 165,B2C,Low,Online,2023-07-30,7
166,CUST000166,Customer 166,B2C,Low,Online,2022-12-29,5
167,CUST000167,Customer 167,B2C,Medium,Online,2023-09-07,10
168,CUST000168,Customer 168,B2B,High,Direct,2023-06-04,4
169,CUST000169,Customer 169,B2C,Low,Partner,2022-04-21,2
170,CUST000170,Customer 170,B2B,Medium,Online,2022-10-13,10
171,CUST000171,Customer 171,B2C,High,Retail,2023-11-05,5
172,CUST000172,Customer 172,B2C,Medium,Partner,2023-12-21,1
173,CUST000173,Customer 173,B2B,Low,Direct,2022-07-05,2
174,CUST000174,Customer 174,B2B,High,Retail,2022-05-26,7
175,CUST000175,Customer 175,B2C,Medium,Retail,2023-03-06,6
176,CUST000176,Customer 176,B2C,Low,Online,2022-11-16,1
177,CUST000177,Customer 177,B2B,Low,Online,2022-06-09,11
178,CUST000178,Customer 178,B2C,Medium,Direct,2022-03-25,8
179,CUST000179,Customer 179,B2C,Medium,Partner,2023-09-14,4
180,CUST000180,Customer 180,B2B,Medium,Direct,2023-06-09,2
181,CUST000181,Customer 181,B2C,Low,Partner,2022-10-18,1
182,CUST000182,Customer 182,B2C,Low,Online,2022-08-14,1
183,CUST000183,Customer 183,B2C,High,Retail,2022-07-29,13
184,CUST000184,Customer 184,B2C,Medium,Online,2022-09-19,1
185,CUST000185,Customer 185,B2C,High,Retail,2023-05-25,7
186,CUST000186,Customer 186,B2B,Low,Partner,2023-06-30,2
187,CUST000187,Customer 187,B2B,Medium,Online,2023-02-11,8
188,CUST000188,Customer 188,B2C,Low,Direct,2022-03-21,10
189,CUST000189,Customer 189,B2C,Medium,Online,2023-02-19,7
190,CUST000190,Customer 190,B2C,High,Direct,2022-01-22,12
191,CUST000191,Customer 191,B2B,Medium,Online,2023-01-06,4
192,CUST000192,Customer 192,B2C,Low,Online,2023-03-23,7
193,CUST000193,Customer 193,B2C,High,Partner,2022-11-14,13
194,CUST000194,Customer 194,B2B,Low,Online,2022-06-22,9
195,CUST000195,Customer 195,B2B,Medium,Partner,2023-06-07,12
196,CUST000196,Customer 196,B2B,High,Online,2023-10-23,3
197,CUST000197,Customer 197,B2B,High,Retail,2022-09-20,13
198,CUST000198,Customer 198,B2B,High,Direct,2023-11-03,8
199,CUST000199,Customer 199,B2C,Low,Partner,2023-08-01,11
200,CUST000200,Customer 200,B2B,Medium,Online,2022-11-20,8
201,CUST000201,Customer 201,B2C,Medium,Online,2023-03-29,6
202,CUST000202,Customer 202,B2B,Medium,Direct,2023-06-04,8
203,CUST000203,Customer 203,B2B,Medium,Partner,2022-02-08,2
204,CUST000204,Customer 204,B2B,Low,Direct,2023-10-23,8
205,CUST000205,Customer 205,B2B,Medium,Retail,2023-08-18,6
206,CUST000206,Customer 206,B2C,Low,Retail,2023-09-12,1
207,CUST000207,Customer 207,B2B,Medium,Online,2023-04-07,9
208,CUST000208,Customer 208,B2B,High,Retail,2023-10-24,12
209,CUST000209,Customer 209,B2C,Low,Retail,2023-03-25,6
210,CUST000210,Customer 210,B2C,Medium,Direct,2023-01-17,13
211,CUST000211,Customer 211,B2B,Low,Partner,2022-12-13,2
212,CUST000212,Customer 212,B2B,Low,Direct,2022-12-04,5
213,CUST000213,Customer 213,B2B,Medium,Online,2022-09-16,10
214,CUST000214,Customer 214,B2B,Medium,Partner,2023-11-11,11
215,CUST000215,Customer 215,B2C,High,Online,2023-12-17,5
216,CUST000216,Customer 216,B2C,Low,Partner,2023-07-27,3
217,CUST000217,Customer 217,B2B,Low,Direct,2023-11-18,9
218,CUST000218,Customer 218,B2B,Medium,Partner,2023-01-06,3
219,CUST000219,Customer 219,B2C,Medium,Retail,2022-08-08,4
220,CUST000220,Customer 220,B2B,High,Partner,2022-05-21,13
221,CUST000221,Customer 221,B2B,Low,Partner,2022-04-14,13
222,CUST000222,Customer 222,B2B,Low,Direct,2023-09-25,3
223,CUST000223,Customer 223,B2B,Low,Retail,2022-06-16,12
224,CUST000224,Customer 224,B2B,Medium,Partner,2023-03-25,11
225,CUST000225,Customer 225,B2C,Low,Partner,2022-09-01,13
226,CUST000226,Customer 226,B2B,Low,Retail,2023-04-05,5
227,CUST000227,Customer 227,B2B,Medium,Direct,2023-04-26,8
228,CUST000228,Customer 228,B2C,Low,Direct,2022-10-16,3
229,CUST000229,Customer 229,B2B,Medium,Online,2022-07-24,11
230,CUST000230,Customer 230,B2C,Low,Online,2023-05-08,12
231,CUST000231,Customer 231,B2B,Medium,Online,2023-06-13,13
232,CUST000232,Customer 232,B2C,Medium,Retail,2022-06-14,7
233,CUST000233,Customer 233,B2B,Medium,Partner,2022-04-04,1
234,CUST000234,Customer 234,B2B,Medium,Partner,2023-03-01,4
235,CUST000235,Customer 235,B2B,Medium,Retail,2023-01-31,1
236,CUST000236,Customer 236,B2B,Low,Partner,2022-11-23,13
237,CUST000237,Customer 237,B2B,High,Partner,2022-05-30,8
238,CUST000238,Customer 238,B2B,Low,Direct,2023-12-14,8
239,CUST000239,Customer 239,B2B,High,Online,2023-09-23,5
240,CUST000240,Customer 240,B2B,Low,Direct,2022-08-09,2
241,CUST000241,Customer 241,B2B,Medium,Online,2022-10-23,1
242,CUST000242,Customer 242,B2C,Low,Direct,2022-09-02,2
243,CUST000243,Customer 243,B2C,Low,Online,2022-04-24,11
244,CUST000244,Customer 244,B2B,Low,Retail,2023-06-12,5
245,CUST000245,Customer 245,B2B,Low,Partner,2023-03-16,4
246,CUST000246,Customer 246,B2C,High,Online,2023-08-08,9
247,CUST000247,Customer 247,B2B,Low,Online,2023-01-05,7
248,CUST000248,Customer 248,B2B,Low,Direct,2023-04-27,6
249,CUST000249,Customer 249,B2B,Medium,Online,2022-09-17,6
250,CUST000250,Customer 250,B2B,Low,Partner,2022-09-04,3
251,CUST000251,Customer 251,B2C,Low,Partner,2022-02-15,11
252,CUST000252,Customer 252,B2C,Low,Direct,2022-06-29,11
253,CUST000253,Customer 253,B2B,High,Direct,2022-07-06,1
254,CUST000254,Customer 254,B2B,High,Retail,2022-10-28,1
255,CUST000255,Customer 255,B2C,Low,Direct,2022-11-20,9
256,CUST000256,Customer 256,B2C,High,Retail,2023-04-30,5
257,CUST000257,Customer 257,B2B,Low,Partner,2023-01-01,5
258,CUST000258,Customer 258,B2C,Medium,Direct,2022-05-08,12
259,CUST000259,Customer 259,B2C,Medium,Retail,2023-03-27,8
260,CUST000260,Customer 260,B2C,Medium,Partner,2023-12-10,13
261,CUST000261,Customer 261,B2C,High,Direct,2022-03-26,10
262,CUST000262,Customer 262,B2C,Medium,Online,2022-07-04,2
263,CUST000263,Customer 263,B2C,Medium,Direct,2022-12-02,10
264,CUST000264,Customer 264,B2B,Low,Direct,2023-03-13,6
265,CUST000265,Customer 265,B2B,Low,Partner,2023-04-03,10
266,CUST000266,Customer 266,B2C,Low,Online,2023-03-22,2
267,CUST000267,Customer 267,B2C,Medium,Retail,2023-11-19,1
268,CUST000268,Customer 268,B2C,High,Retail,2022-05-27,2
269,CUST000269,Customer 269,B2C,Medium,Direct,2022-08-30,10
270,CUST000270,Customer 270,B2B,Low,Direct,2022-02-03,6
271,CUST000271,Customer 271,B2C,High,Retail,2023-01-16,9
272,CUST000272,Customer 272,B2C,Medium,Partner,2023-01-11,4
273,CUST000273,Customer 273,B2B,Low,Retail,2022-04-27,8
274,CUST000274,Customer 274,B2C,Low,Online,2023-06-15,5
275,CUST000275,Customer 275,B2C,High,Partner,2022-09-24,12
276,CUST000276,Customer 276,B2B,High,Retail,2023-05-18,2
277,CUST000277,Customer 277,B2B,Low,Direct,2023-04-08,2
278,CUST000278,Customer 278,B2C,Low,Partner,2023-11-30,12
279,CUST000279,Customer 279,B2C,Medium,Retail,2022-03-08,12
280,CUST000280,Customer 280,B2B,Medium,Retail,2023-12-28,2
281,CUST000281,Customer 281,B2B,High,Direct,2022-07-25,1
282,CUST000282,Customer 282,B2C,Medium,Retail,2023-01-05,10
283,CUST000283,Customer 283,B2B,Medium,Direct,2022-03-30,12
284,CUST000284,Customer 284,B2C,Medium,Online,2023-05-06,3
285,CUST000285,Customer 285,B2B,Medium,Direct,2022-11-21,11
286,CUST000286,Customer 286,B2C,High,Retail,2023-06-14,13
287,CUST000287,Customer 287,B2C,Low,Online,2022-05-13,2
288,CUST000288,Customer 288,B2B,Medium,Retail,2023-06-15,3
289,CUST000289,Customer 289,B2B,Medium,Partner,2022-11-27,2
290,CUST000290,Customer 290,B2B,Low,Partner,2022-09-14,3
291,CUST000291,Customer 291,B2C,Low,Online,2023-10-03,9
292,CUST000292,Customer 292,B2B,Low,Retail,2023-10-19,3
293,CUST000293,Customer 293,B2C,Low,Online,2023-11-06,1
294,CUST000294,Customer 294,B2B,Low,Partner,2022-03-25,11
295,CUST000295,Customer 295,B2C,Low,Online,2022-08-04,8
296,CUST000296,Customer 296,B2C,Low,Partner,2023-10-05,8
297,CUST000297,Customer 297,B2C,Medium,Direct,2022-09-08,2
298,CUST000298,Customer 298,B2B,High,Direct,2023-12-07,7
299,CUST000299,Customer 299,B2C,High,Partner,2023-05-11,10
300,CUST000300,Customer 300,B2C,Low,Partner,2022-05-28,12
301,CUST000301,Customer 301,B2C,High,Partner,2022-12-20,9
302,CUST000302,Customer 302,B2B,Medium,Retail,2023-07-30,8
303,CUST000303,Customer 303,B2C,Medium,Retail,2022-05-06,3
304,CUST000304,Customer 304,B2B,Medium,Direct,2022-04-10,10
305,CUST000305,Customer 305,B2B,High,Partner,2023-03-05,10
306,CUST000306,Customer 306,B2B,High,Direct,2022-11-17,9
307,CUST000307,Customer 307,B2C,Medium,Direct,2023-04-24,1
308,CUST000308,Customer 308,B2C,Low,Direct,2022-04-03,4
309,CUST000309,Customer 309,B2C,High,Online,2022-08-09,5
310,CUST000310,Customer 310,B2C,Medium,Online,2023-05-22,2
311,CUST000311,Customer 311,B2B,Medium,Partner,2023-03-18,13
312,CUST000312,Customer 312,B2C,High,Direct,2023-02-17,1
313,CUST000313,Customer 313,B2B,Medium,Partner,2023-08-07,2
314,CUST000314,Customer 314,B2C,Low,Partner,2023-01-31,10
315,CUST000315,Customer 315,B2B,High,Online,2023-11-28,7
316,CUST000316,Customer 316,B2C,Low,Partner,2023-01-18,13
317,CUST000317,Customer 317,B2B,Low,Direct,2022-05-28,9
318,CUST000318,Customer 318,B2B,High,Retail,2022-02-11,12
319,CUST000319,Customer 319,B2C,Low,Direct,2022-12-08,3
320,CUST000320,Customer 320,B2B,Medium,Partner,2023-09-13,3
321,CUST000321,Customer 321,B2C,Low,Partner,2023-02-07,9
322,CUST000322,Customer 322,B2C,Low,Partner,2023-06-06,8
323,CUST000323,Customer 323,B2C,Medium,Online,2022-01-18,7
324,CUST000324,Customer 324,B2C,Low,Online,2023-08-21,10
325,CUST000325,Customer 325,B2C,Low,Retail,2023-05-01,12
326,CUST000326,Customer 326,B2C,High,Direct,2022-02-22,3
327,CUST000327,Customer 327,B2B,High,Online,2023-11-29,4
328,CUST000328,Customer 328,B2C,Medium,Direct,2022-01-20,3
329,CUST000329,Customer 329,B2B,Medium,Direct,2023-02-27,12
330,CUST000330,Customer 330,B2B,Low,Retail,2022-03-05,9
331,CUST000331,Customer 331,B2C,Low,Direct,2022-11-29,6
332,CUST000332,Customer 332,B2C,Low,Partner,2022-06-27,9
333,CUST000333,Customer 333,B2C,Low,Direct,2022-12-29,4
334,CUST000334,Customer 334,B2C,Low,Partner,2022-09-10,4
335,CUST000335,Customer 335,B2C,Low,Retail,2022-11-01,12
336,CUST000336,Customer 336,B2C,Medium,Direct,2023-12-23,6
337,CUST000337,Customer 337,B2C,Medium,Online,2023-07-28,10
338,CUST000338,Customer 338,B2C,Medium,Partner,2023-11-24,13
339,CUST000339,Customer 339,B2C,High,Partner,2022-05-30,12
340,CUST000340,Customer 340,B2C,Medium,Partner,2022-03-22,12
341,CUST000341,Customer 341,B2B,High,Partner,2023-05-06,9
342,CUST000342,Customer 342,B2C,High,Online,2023-12-14,10
343,CUST000343,Customer 343,B2B,High,Online,2023-08-24,11
344,CUST000344,Customer 344,B2B,Low,Retail,2023-06-28,1
345,CUST000345,Customer 345,B2C,Medium,Direct,2022-04-13,2
346,CUST000346,Customer 346,B2B,High,Retail,2023-11-29,7
347,CUST000347,Customer 347,B2C,Medium,Retail,2023-10-31,13
348,CUST000348,Customer 348,B2C,Medium,Online,2022-10-22,13
349,CUST000349,Customer 349,B2B,Low,Online,2022-04-02,3
350,CUST000350,Customer 350,B2B,High,Direct,2023-03-04,13
351,CUST000351,Customer 351,B2B,Low,Partner,2023-05-23,1
352,CUST000352,Customer 352,B2C,Low,Online,2022-01-10,6
353,CUST000353,Customer 353,B2C,Low,Direct,2022-10-19,3
354,CUST000354,Customer 354,B2C,Medium,Retail,2023-06-01,13
355,CUST000355,Customer 355,B2C,High,Direct,2022-04-26,11
356,CUST000356,Customer 356,B2B,High,Partner,2022-09-21,13
357,CUST000357,Customer 357,B2B,High,Direct,2022-10-30,7
358,CUST000358,Customer 358,B2C,High,Direct,2023-06-12,11
359,CUST000359,Customer 359,B2B,High,Direct,2022-04-08,6
360,CUST000360,Customer 360,B2B,Medium,Direct,2022-09-12,4
361,CUST000361,Customer 361,B2C,Medium,Partner,2023-04-03,10
362,CUST000362,Customer 362,B2B,Medium,Partner,2023-08-10,12
363,CUST000363,Customer 363,B2B,Low,Online,2022-08-30,8
364,CUST000364,Customer 364,B2B,Medium,Partner,2022-11-11,12
365,CUST000365,Customer 365,B2C,Medium,Retail,2022-05-01,4
366,CUST000366,Customer 366,B2C,High,Direct,2022-05-17,12
367,CUST000367,Customer 367,B2C,Medium,Direct,2023-09-13,13
368,CUST000368,Customer 368,B2B,High,Online,2023-07-05,9
369,CUST000369,Customer 369,B2C,High,Online,2023-04-03,1
370,CUST000370,Customer 370,B2B,Low,Retail,2023-07-15,3
371,CUST000371,Customer 371,B2C,High,Retail,2022-12-02,12
372,CUST000372,Customer 372,B2C,High,Direct,2023-08-21,13
373,CUST000373,Customer 373,B2C,High,Direct,2022-02-26,8
374,CUST000374,Customer 374,B2B,Low,Direct,2023-08-01,11
375,CUST000375,Customer 375,B2B,Medium,Partner,2022-11-12,1
376,CUST000376,Customer 376,B2B,High,Direct,2022-08-12,6
377,CUST000377,Customer 377,B2B,Low,Online,2023-12-19,2
378,CUST000378,Customer 378,B2B,Medium,Direct,2023-04-29,3
379,CUST000379,Customer 379,B2C,Medium,Direct,2022-05-19,8
380,CUST000380,Customer 380,B2C,High,Retail,2023-01-22,11
381,CUST000381,Customer 381,B2B,High,Direct,2022-12-23,9
382,CUST000382,Customer 382,B2B,High,Online,2022-05-11,5
383,CUST000383,Customer 383,B2C,Low,Direct,2023-04-20,4
384,CUST000384,Customer 384,B2C,Medium,Retail,2022-09-11,5
385,CUST000385,Customer 385,B2B,High,Direct,2022-07-13,10
386,CUST000386,Customer 386,B2B,High,Online,2022-01-17,2
387,CUST000387,Customer 387,B2B,Medium,Online,2023-09-01,4
388,CUST000388,Customer 388,B2C,Medium,Retail,2022-02-15,9
389,CUST000389,Customer 389,B2B,High,Partner,2022-08-11,4
390,CUST000390,Customer 390,B2C,Low,Partner,2023-08-13,4
391,CUST000391,Customer 391,B2B,Low,Retail,2022-11-06,7
392,CUST000392,Customer 392,B2C,High,Retail,2022-11-04,11
393,CUST000393,Customer 393,B2C,Low,Direct,2023-11-27,1
394,CUST000394,Customer 394,B2C,Low,Partner,2022-12-19,12
395,CUST000395,Customer 395,B2C,High,Partner,2023-03-03,7
396,CUST000396,Customer 396,B2C,High,Retail,2022-07-08,5
397,CUST000397,Customer 397,B2B,Medium,Online,2023-12-26,9
398,CUST000398,Customer 398,B2C,Low,Retail,2023-02-27,7
399,CUST000399,Customer 399,B2C,High,Partner,2022-09-06,11
400,CUST000400,Customer 400,B2C,Medium,Online,2022-03-22,9
401,CUST000401,Customer 401,B2B,Medium,Direct,2022-07-15,11
402,CUST000402,Customer 402,B2B,High,Retail,2023-09-12,13
403,CUST000403,Customer 403,B2B,Medium,Retail,2023-08-25,6
404,CUST000404,Customer 404,B2B,High,Retail,2022-11-07,12
405,CUST000405,Customer 405,B2C,High,Retail,2022-05-01,7
406,CUST000406,Customer 406,B2C,Medium,Direct,2022-09-03,8
407,CUST000407,Customer 407,B2C,Medium,Partner,2023-07-01,6
408,CUST000408,Customer 408,B2C,Medium,Online,2023-06-10,13
409,CUST000409,Customer 409,B2C,High,Partner,2023-04-26,6
410,CUST000410,Customer 410,B2B,Low,Retail,2023-02-28,12
