ReturnKey,ReturnID,ReturnDateKey,ReturnDate,OrderKey,OrderID,CustomerKey,ProductKey,ReturnQuantity,ReturnAmount,ReturnReason,ReturnStatus
45,RET00000045,20241203,2024-12-03,38740,ORD00038740,3401,142,1,209.72,Not as Described,Pending
46,RET00000046,20231228,2023-12-28,59365,ORD00059365,3613,27,3,453.39,Defective,Pending
47,RET00000047,20240604,2024-06-04,9204,ORD00009204,4702,2,5,620.35,Damaged in Transit,Processed
48,RET00000048,20231007,2023-10-07,14525,ORD00014525,3129,35,1,30.23,Not as Described,Processed
49,RET00000049,20241013,2024-10-13,69797,ORD00069797,1400,48,1,950.18,Defective,Processed
50,RET00000050,20240127,2024-01-27,52837,ORD00052837,3216,21,1,423.78,Not as Described,Processing
51,RET00000051,20240409,2024-04-09,96677,ORD00096677,2735,140,10,2217.5,Quality Issues,Processing
52,RET00000052,20230926,2023-09-26,4295,ORD00004295,536,45,1,887.25,Not as Described,Rejected
53,RET00000053,20231215,2023-12-15,73649,ORD00073649,2431,117,3,1252.59,Not as Described,Pending
54,RET00000054,20230929,2023-09-29,63809,ORD00063809,3659,89,1,700.02,Damaged in Transit,Pending
55,RET00000055,20230904,2023-09-04,10288,ORD00010288,2850,47,8,883.2,Quality Issues,Processing
56,RET00000056,20240921,2024-09-21,39996,ORD00039996,4177,103,3,1361.67,Quality Issues,Processed
57,RET00000057,20240108,2024-01-08,81338,ORD00081338,635,42,3,2499.84,Not as Described,Processed
58,RET00000058,20240522,2024-05-22,40631,ORD00040631,3388,75,8,6158.4,Not as Described,Rejected
59,RET00000059,20221106,2022-11-06,43120,ORD00043120,4328,26,3,2852.67,Other,Processed
60,RET00000060,20230319,2023-03-19,30523,ORD00030523,4081,90,1,961.33,Wrong Item,Rejected
61,RET00000061,20240109,2024-01-09,56469,ORD00056469,62,134,4,2912.88,Quality Issues,Pending
62,RET00000062,20240914,2024-09-14,11550,ORD00011550,4612,69,2,1723.3,Other,Processed
63,RET00000063,20240820,2024-08-20,47552,ORD00047552,1591,106,3,1348.44,Not as Described,Processing
64,RET00000064,20230421,2023-04-21,4135,ORD00004135,4605,145,4,3480.08,Damaged in Transit,Processed
65,RET00000065,20240806,2024-08-06,36154,ORD00036154,2930,10,3,354.84,Changed Mind,Processed
66,RET00000066,20230602,2023-06-02,34338,ORD00034338,1986,110,3,2582.64,Other,Processing
67,RET00000067,20240330,2024-03-30,42242,ORD00042242,3305,97,9,7130.07,Changed Mind,Rejected
68,RET00000068,20241220,2024-12-20,6868,ORD00006868,1230,77,3,1465.05,Other,Pending
69,RET00000069,20220923,2022-09-23,36046,ORD00036046,1673,25,3,926.16,Defective,Processing
70,RET00000070,20231104,2023-11-04,43041,ORD00043041,901,4,3,717.0,Damaged in Transit,Pending
71,RET00000071,20231225,2023-12-25,28176,ORD00028176,2725,16,1,897.5,Quality Issues,Rejected
72,RET00000072,20240202,2024-02-02,80134,ORD00080134,459,119,2,111.38,Other,Rejected
73,RET00000073,20230504,2023-05-04,98232,ORD00098232,300,102,1,254.93,Defective,Processing
74,RET00000074,20220419,2022-04-19,9603,ORD00009603,4917,76,9,9116.19,Not as Described,Pending
75,RET00000075,20230919,2023-09-19,69402,ORD00069402,2790,123,7,6445.04,Damaged in Transit,Processed
76,RET00000076,20230107,2023-01-07,93836,ORD00093836,1381,121,9,7643.52,Defective,Rejected
77,RET00000077,20231002,2023-10-02,8706,ORD00008706,2325,87,1,922.17,Not as Described,Processed
78,RET00000078,20240309,2024-03-09,36110,ORD00036110,4536,71,8,8096.32,Quality Issues,Rejected
79,RET00000079,20240806,2024-08-06,42528,ORD00042528,1264,141,6,1940.76,Not as Described,Processed
80,RET00000080,20240524,2024-05-24,62554,ORD00062554,538,80,6,3574.38,Defective,Processed
81,RET00000081,20241116,2024-11-16,76979,ORD00076979,2354,103,1,410.0,Defective,Rejected
82,RET00000082,20241105,2024-11-05,99283,ORD00099283,2911,64,2,1614.0,Changed Mind,Processing
83,RET00000083,20240317,2024-03-17,73930,ORD00073930,3007,108,7,5375.23,Defective,Processed
84,RET00000084,20240407,2024-04-07,44982,ORD00044982,665,38,3,1357.11,Too Late,Rejected
85,RET00000085,20241109,2024-11-09,19673,ORD00019673,1968,37,1,348.8,Defective,Processed
86,RET00000086,20231123,2023-11-23,15043,ORD00015043,814,82,4,367.24,Quality Issues,Rejected
87,RET00000087,20240927,2024-09-27,19599,ORD00019599,1914,159,1,732.76,Damaged in Transit,Processed
88,RET00000088,20240717,2024-07-17,84590,ORD00084590,2562,116,1,43.03,Other,Pending
89,RET00000089,20240430,2024-04-30,51804,ORD00051804,4856,88,4,1319.28,Damaged in Transit,Pending
90,RET00000090,20220522,2022-05-22,44749,ORD00044749,4959,136,2,725.56,Quality Issues,Processed
91,RET00000091,20230816,2023-08-16,5704,ORD00005704,1420,52,4,3063.6,Quality Issues,Processing
92,RET00000092,20240711,2024-07-11,31333,ORD00031333,2803,15,1,69.94,Quality Issues,Processed
93,RET00000093,20240324,2024-03-24,65752,ORD00065752,935,98,5,607.75,Wrong Item,Processed
94,RET00000094,20221020,2022-10-20,48615,ORD00048615,1557,126,7,6248.27,Damaged in Transit,Pending
95,RET00000095,20230727,2023-07-27,96009,ORD00096009,975,80,5,2948.45,Quality Issues,Processing
96,RET00000096,20241129,2024-11-29,56875,ORD00056875,1457,85,3,1954.8,Damaged in Transit,Pending
97,RET00000097,20241027,2024-10-27,16784,ORD00016784,2648,152,3,2350.62,Changed Mind,Rejected
98,RET00000098,20231023,2023-10-23,38941,ORD00038941,2982,158,2,1744.96,Damaged in Transit,Rejected
99,RET00000099,20240624,2024-06-24,30390,ORD00030390,1862,93,4,561.48,Wrong Item,Processing
100,RET00000100,20221127,2022-11-27,62940,ORD00062940,518,148,2,1677.02,Not as Described,Rejected
101,RET00000101,20230807,2023-08-07,39096,ORD00039096,2804,30,1,148.06,Changed Mind,Rejected
102,RET00000102,20240212,2024-02-12,89833,ORD00089833,2875,97,1,894.13,Quality Issues,Processed
103,RET00000103,20240409,2024-04-09,437,ORD00000437,1610,61,7,1665.65,Too Late,Pending
104,RET00000104,20230805,2023-08-05,99062,ORD00099062,4863,129,7,960.68,Quality Issues,Rejected
105,RET00000105,20240731,2024-07-31,48719,ORD00048719,388,9,4,3315.0,Quality Issues,Processed
106,RET00000106,20220826,2022-08-26,20000,ORD00020000,2403,134,5,3108.3,Too Late,Pending
107,RET00000107,20230220,2023-02-20,6582,ORD00006582,1039,12,1,1005.42,Damaged in Transit,Processed
108,RET00000108,20240828,2024-08-28,91959,ORD00091959,1854,134,3,1874.01,Defective,Pending
109,RET00000109,20231231,2023-12-31,83267,ORD00083267,1109,23,4,216.52,Other,Pending
110,RET00000110,20221105,2022-11-05,36685,ORD00036685,4018,46,2,557.46,Defective,Pending
111,RET00000111,20240811,2024-08-11,24864,ORD00024864,3274,141,1,364.48,Defective,Processed
112,RET00000112,20230819,2023-08-19,2085,ORD00002085,60,140,8,1630.64,Quality Issues,Pending
113,RET00000113,20241127,2024-11-27,1506,ORD00001506,3249,84,1,995.9,Not as Described,Rejected
114,RET00000114,20240111,2024-01-11,31618,ORD00031618,1042,153,3,638.4,Other,Pending
115,RET00000115,20230103,2023-01-03,25353,ORD00025353,2800,59,1,261.0,Quality Issues,Pending
116,RET00000116,20230404,2023-04-04,7741,ORD00007741,4059,94,3,2395.59,Damaged in Transit,Processed
117,RET00000117,20230130,2023-01-30,62400,ORD00062400,4917,128,1,311.85,Other,Processed
118,RET00000118,20240528,2024-05-28,19955,ORD00019955,1630,89,1,732.58,Wrong Item,Rejected
119,RET00000119,20240411,2024-04-11,50194,ORD00050194,773,82,2,209.74,Quality Issues,Rejected
120,RET00000120,20231111,2023-11-11,7447,ORD00007447,2871,60,7,976.78,Defective,Rejected
121,RET00000121,20230823,2023-08-23,59359,ORD00059359,2394,27,5,792.6,Not as Described,Processing
122,RET00000122,20240204,2024-02-04,76777,ORD00076777,4871,141,8,2869.12,Other,Processing
123,RET00000123,20241111,2024-11-11,51499,ORD00051499,146,133,1,81.46,Quality Issues,Processing
124,RET00000124,20240713,2024-07-13,68582,ORD00068582,2231,62,1,208.02,Damaged in Transit,Processed
125,RET00000125,20240715,2024-07-15,15489,ORD00015489,2672,97,1,766.69,Wrong Item,Rejected
126,RET00000126,20241001,2024-10-01,6586,ORD00006586,49,101,8,1647.84,Changed Mind,Pending
127,RET00000127,20231104,2023-11-04,91333,ORD00091333,2568,104,1,379.08,Quality Issues,Processing
128,RET00000128,20240325,2024-03-25,68196,ORD00068196,3556,58,1,877.88,Defective,Processed
129,RET00000129,20230722,2023-07-22,43935,ORD00043935,3792,89,1,627.01,Damaged in Transit,Processed
130,RET00000130,20221016,2022-10-16,5318,ORD00005318,1387,66,2,432.12,Damaged in Transit,Rejected
131,RET00000131,20231004,2023-10-04,24015,ORD00024015,537,72,1,458.91,Damaged in Transit,Rejected
132,RET00000132,20230922,2023-09-22,25736,ORD00025736,901,159,2,1360.72,Not as Described,Rejected
133,RET00000133,20230222,2023-02-22,15600,ORD00015600,727,13,9,2713.59,Defective,Pending
134,RET00000134,20231207,2023-12-07,10925,ORD00010925,4037,13,9,2839.23,Too Late,Rejected
135,RET00000135,20240809,2024-08-09,94818,ORD00094818,4338,91,7,4201.19,Other,Rejected
136,RET00000136,20240331,2024-03-31,63356,ORD00063356,4432,83,1,88.52,Damaged in Transit,Pending
137,RET00000137,20230502,2023-05-02,23602,ORD00023602,4401,30,7,982.73,Defective,Processing
138,RET00000138,20240311,2024-03-11,40426,ORD00040426,4278,108,6,4578.9,Other,Pending
139,RET00000139,20240715,2024-07-15,65621,ORD00065621,1988,117,4,1651.32,Not as Described,Processing
140,RET00000140,20240417,2024-04-17,84258,ORD00084258,3215,27,6,885.36,Not as Described,Pending
141,RET00000141,20241224,2024-12-24,31672,ORD00031672,984,34,1,570.87,Too Late,Processed
142,RET00000142,20240507,2024-05-07,78637,ORD00078637,182,138,1,870.09,Changed Mind,Processed
143,RET00000143,20240116,2024-01-16,77500,ORD00077500,287,48,9,8423.82,Damaged in Transit,Pending
144,RET00000144,20230217,2023-02-17,99292,ORD00099292,3248,17,1,413.97,Other,Pending
145,RET00000145,20230707,2023-07-07,33531,ORD00033531,991,31,3,187.38,Changed Mind,Pending
146,RET00000146,20230926,2023-09-26,42614,ORD00042614,3844,115,6,5786.16,Wrong Item,Processing
147,RET00000147,20230720,2023-07-20,93530,ORD00093530,1705,149,5,2897.6,Damaged in Transit,Pending
148,RET00000148,20230829,2023-08-29,37984,ORD00037984,2068,92,2,190.52,Too Late,Rejected
149,RET00000149,20220812,2022-08-12,69090,ORD00069090,3118,88,5,1612.0,Not as Described,Processing
150,RET00000150,20230213,2023-02-13,65921,ORD00065921,272,94,8,7008.32,Changed Mind,Pending
151,RET00000151,20241202,2024-12-02,30447,ORD00030447,1040,112,5,1752.55,Not as Described,Rejected
152,RET00000152,20231106,2023-11-06,21465,ORD00021465,2237,48,6,5681.04,Damaged in Transit,Processing
153,RET00000153,20240930,2024-09-30,60842,ORD00060842,301,151,1,617.26,Defective,Pending
154,RET00000154,20241126,2024-11-26,3028,ORD00003028,868,52,8,6136.88,Defective,Pending
155,RET00000155,20230405,2023-04-05,55604,ORD00055604,2357,136,1,351.01,Other,Rejected
156,RET00000156,20240106,2024-01-06,18960,ORD00018960,4766,63,1,384.7,Damaged in Transit,Processing
157,RET00000157,20240704,2024-07-04,51568,ORD00051568,1419,135,1,317.86,Too Late,Pending
158,RET00000158,20231211,2023-12-11,58714,ORD00058714,4866,79,4,345.0,Damaged in Transit,Pending
159,RET00000159,20240618,2024-06-18,49264,ORD00049264,2801,95,3,1234.35,Too Late,Processing
160,RET00000160,20240211,2024-02-11,78943,ORD00078943,4361,153,1,230.09,Wrong Item,Rejected
161,RET00000161,20230320,2023-03-20,15997,ORD00015997,3864,46,1,264.47,Other,Rejected
162,RET00000162,20240204,2024-02-04,4121,ORD00004121,3556,157,1,765.69,Quality Issues,Pending
163,RET00000163,20240617,2024-06-17,74375,ORD00074375,442,48,1,1006.2,Too Late,Processed
164,RET00000164,20241011,2024-10-11,27142,ORD00027142,1211,113,6,2380.2,Too Late,Pending
165,RET00000165,20240824,2024-08-24,93997,ORD00093997,386,39,2,1538.2,Too Late,Processing
166,RET00000166,20230827,2023-08-27,70584,ORD00070584,2000,4,3,689.1,Not as Described,Processing
167,RET00000167,20240330,2024-03-30,14811,ORD00014811,814,134,2,1450.18,Quality Issues,Rejected
168,RET00000168,20240428,2024-04-28,51387,ORD00051387,3486,68,3,2893.11,Defective,Processing
169,RET00000169,20230712,2023-07-12,42512,ORD00042512,2769,122,5,3342.7,Not as Described,Processed
170,RET00000170,20240708,2024-07-08,53556,ORD00053556,733,142,5,1204.15,Defective,Processed
171,RET00000171,20220930,2022-09-30,4266,ORD00004266,2069,8,4,1361.24,Damaged in Transit,Processing
172,RET00000172,20230427,2023-04-27,89148,ORD00089148,2704,16,3,2979.66,Defective,Processing
173,RET00000173,20241028,2024-10-28,77988,ORD00077988,620,104,8,2903.04,Wrong Item,Processing
174,RET00000174,20230513,2023-05-13,91536,ORD00091536,3612,56,8,2003.76,Changed Mind,Pending
175,RET00000175,20240410,2024-04-10,430,ORD00000430,483,69,1,934.94,Defective,Processed
176,RET00000176,20241020,2024-10-20,29035,ORD00029035,3187,69,2,1597.3,Not as Described,Processed
177,RET00000177,20241009,2024-10-09,43693,ORD00043693,3848,53,2,894.66,Wrong Item,Rejected
178,RET00000178,20230601,2023-06-01,80757,ORD00080757,788,93,3,420.48,Too Late,Processed
179,RET00000179,20240917,2024-09-17,95574,ORD00095574,1194,160,4,2914.84,Quality Issues,Rejected
180,RET00000180,20240425,2024-04-25,8210,ORD00008210,1649,9,1,739.86,Not as Described,Processing
181,RET00000181,20221228,2022-12-28,72282,ORD00072282,4662,115,1,968.92,Defective,Pending
182,RET00000182,20230918,2023-09-18,37726,ORD00037726,1980,152,5,4612.7,Defective,Rejected
183,RET00000183,20231123,2023-11-23,96920,ORD00096920,3525,29,1,449.51,Changed Mind,Processed
184,RET00000184,20240807,2024-08-07,14808,ORD00014808,4502,122,6,3758.52,Defective,Pending
185,RET00000185,20221028,2022-10-28,55531,ORD00055531,4636,18,6,2137.08,Other,Processed
186,RET00000186,20231016,2023-10-16,49181,ORD00049181,841,126,6,5611.92,Defective,Rejected
187,RET00000187,20220515,2022-05-15,94906,ORD00094906,2688,118,2,1674.94,Defective,Rejected
188,RET00000188,20240513,2024-05-13,10728,ORD00010728,735,94,8,6998.56,Changed Mind,Pending
189,RET00000189,20221123,2022-11-23,82539,ORD00082539,2545,95,1,475.44,Not as Described,Rejected
190,RET00000190,20221027,2022-10-27,48429,ORD00048429,1424,7,1,23.78,Too Late,Processing
191,RET00000191,20240918,2024-09-18,67561,ORD00067561,1751,124,1,490.47,Not as Described,Rejected
192,RET00000192,20230123,2023-01-23,55153,ORD00055153,2541,31,1,65.35,Changed Mind,Pending
193,RET00000193,20230812,2023-08-12,51244,ORD00051244,485,18,4,1554.92,Changed Mind,Processed
194,RET00000194,20240627,2024-06-27,51579,ORD00051579,3833,50,5,978.6,Not as Described,Processing
195,RET00000195,20240507,2024-05-07,66678,ORD00066678,2360,58,2,1717.44,Quality Issues,Rejected
196,RET00000196,20230613,2023-06-13,8112,ORD00008112,2298,10,5,618.3,Damaged in Transit,Processing
197,RET00000197,20230918,2023-09-18,9459,ORD00009459,4168,71,4,3447.8,Quality Issues,Pending
198,RET00000198,20230701,2023-07-01,97356,ORD00097356,1006,88,4,1405.48,Wrong Item,Rejected
199,RET00000199,20220715,2022-07-15,40148,ORD00040148,926,25,6,1947.36,Quality Issues,Processed
200,RET00000200,20231101,2023-11-01,12294,ORD00012294,2145,56,5,1205.85,Defective,Processed
201,RET00000201,20240512,2024-05-12,72969,ORD00072969,2771,21,3,1136.28,Other,Processing
202,RET00000202,20230714,2023-07-14,28849,ORD00028849,3167,18,2,783.4,Wrong Item,Pending
203,RET00000203,20241109,2024-11-09,92805,ORD00092805,3891,31,1,60.03,Too Late,Rejected
204,RET00000204,20231129,2023-11-29,35545,ORD00035545,2047,24,1,78.43,Wrong Item,Rejected
205,RET00000205,20230103,2023-01-03,29443,ORD00029443,2149,74,1,928.39,Damaged in Transit,Rejected
206,RET00000206,20231230,2023-12-30,39059,ORD00039059,4742,134,4,2936.24,Quality Issues,Processing
207,RET00000207,20230919,2023-09-19,69718,ORD00069718,3046,38,2,1009.6,Not as Described,Pending
208,RET00000208,20231209,2023-12-09,64587,ORD00064587,292,115,3,3156.87,Other,Processing
209,RET00000209,20220905,2022-09-05,75823,ORD00075823,1961,121,1,832.7,Other,Processing
210,RET00000210,20230124,2023-01-24,78650,ORD00078650,4843,46,1,247.26,Quality Issues,Processing
211,RET00000211,20230625,2023-06-25,14452,ORD00014452,698,91,3,1788.09,Other,Rejected
212,RET00000212,20231120,2023-11-20,37277,ORD00037277,1443,82,1,101.33,Defective,Pending
213,RET00000213,20230818,2023-08-18,395,ORD00000395,783,20,3,509.91,Other,Pending
214,RET00000214,20240722,2024-07-22,7860,ORD00007860,3604,8,7,2266.11,Not as Described,Processed
215,RET00000215,20231113,2023-11-13,15004,ORD00015004,1787,134,6,3851.34,Not as Described,Processed
216,RET00000216,20240310,2024-03-10,1359,ORD00001359,3713,108,2,1661.98,Changed Mind,Processed
217,RET00000217,20231029,2023-10-29,8349,ORD00008349,960,69,9,8183.34,Changed Mind,Rejected
218,RET00000218,20240704,2024-07-04,91188,ORD00091188,4765,57,4,3123.48,Too Late,Processing
219,RET00000219,20230727,2023-07-27,26845,ORD00026845,1806,51,2,931.04,Too Late,Rejected
220,RET00000220,20230609,2023-06-09,51264,ORD00051264,1591,83,1,84.67,Damaged in Transit,Rejected
221,RET00000221,20220902,2022-09-02,96356,ORD00096356,1110,69,3,2697.6,Wrong Item,Processed
222,RET00000222,20230929,2023-09-29,5031,ORD00005031,4890,113,2,771.42,Not as Described,Processing
223,RET00000223,20240102,2024-01-02,15891,ORD00015891,4890,3,3,1176.99,Quality Issues,Processing
224,RET00000224,20231204,2023-12-04,50317,ORD00050317,3041,41,5,2514.7,Wrong Item,Pending
225,RET00000225,20240829,2024-08-29,51749,ORD00051749,2991,117,2,880.62,Too Late,Pending
226,RET00000226,20230528,2023-05-28,81216,ORD00081216,785,80,9,5127.48,Damaged in Transit,Pending
227,RET00000227,20221202,2022-12-02,56489,ORD00056489,4571,121,5,4191.45,Not as Described,Rejected
228,RET00000228,20240612,2024-06-12,49138,ORD00049138,355,42,1,791.16,Not as Described,Processing
229,RET00000229,20240528,2024-05-28,98310,ORD00098310,2138,17,3,1198.44,Quality Issues,Processed
230,RET00000230,20240310,2024-03-10,71091,ORD00071091,2418,50,6,1064.7,Defective,Processed
231,RET00000231,20240610,2024-06-10,87481,ORD00087481,357,11,1,787.65,Defective,Pending
232,RET00000232,20221222,2022-12-22,58847,ORD00058847,4105,51,1,411.06,Other,Pending
233,RET00000233,20230425,2023-04-25,44004,ORD00044004,2282,62,3,591.36,Other,Rejected
234,RET00000234,20221127,2022-11-27,30036,ORD00030036,101,130,1,67.09,Wrong Item,Pending
235,RET00000235,20240309,2024-03-09,36502,ORD00036502,2188,61,7,1945.44,Too Late,Pending
236,RET00000236,20240916,2024-09-16,73322,ORD00073322,1719,67,2,372.34,Wrong Item,Processed
237,RET00000237,20240526,2024-05-26,43136,ORD00043136,3067,114,10,9825.1,Wrong Item,Processed
238,RET00000238,20240813,2024-08-13,87262,ORD00087262,3188,31,1,70.72,Not as Described,Processed
239,RET00000239,20241202,2024-12-02,66969,ORD00066969,581,73,4,3531.32,Other,Rejected
240,RET00000240,20240625,2024-06-25,88323,ORD00088323,553,62,5,1033.7,Not as Described,Processing
241,RET00000241,20241013,2024-10-13,38022,ORD00038022,3955,58,3,2729.94,Other,Processing
242,RET00000242,20240113,2024-01-13,71985,ORD00071985,420,35,4,133.56,Quality Issues,Processing
243,RET00000243,20240225,2024-02-25,1084,ORD00001084,2864,31,9,571.86,Too Late,Processing
244,RET00000244,20240922,2024-09-22,27199,ORD00027199,1460,26,5,4157.4,Wrong Item,Processing
245,RET00000245,20240705,2024-07-05,55046,ORD00055046,4264,91,10,6560.4,Changed Mind,Processing
246,RET00000246,20240403,2024-04-03,93816,ORD00093816,2071,67,2,430.02,Changed Mind,Rejected
247,RET00000247,20240227,2024-02-27,38278,ORD00038278,127,52,3,2478.15,Not as Described,Rejected
248,RET00000248,20241004,2024-10-04,62406,ORD00062406,2334,84,1,956.73,Other,Processed
249,RET00000249,20240111,2024-01-11,42887,ORD00042887,388,138,3,2799.27,Quality Issues,Rejected
250,RET00000250,20231009,2023-10-09,62862,ORD00062862,3800,3,1,392.87,Other,Processed
251,RET00000251,20231028,2023-10-28,42908,ORD00042908,4407,144,3,907.26,Changed Mind,Processed
252,RET00000252,20230702,2023-07-02,89152,ORD00089152,719,160,1,793.12,Changed Mind,Pending
253,RET00000253,20220911,2022-09-11,40003,ORD00040003,1287,43,1,988.88,Quality Issues,Processed
254,RET00000254,20230326,2023-03-26,2889,ORD00002889,1306,107,3,2979.33,Too Late,Processed
255,RET00000255,20241018,2024-10-18,23149,ORD00023149,1830,89,1,639.39,Wrong Item,Pending
256,RET00000256,20241122,2024-11-22,34257,ORD00034257,168,88,1,355.32,Quality Issues,Processed
257,RET00000257,20230510,2023-05-10,22346,ORD00022346,956,88,1,307.69,Other,Processed
258,RET00000258,20220813,2022-08-13,76976,ORD00076976,1800,14,3,1075.14,Defective,Pending
259,RET00000259,20240416,2024-04-16,27704,ORD00027704,4622,115,5,5318.95,Not as Described,Processing
260,RET00000260,20230625,2023-06-25,69693,ORD00069693,2442,3,1,441.45,Damaged in Transit,Rejected
261,RET00000261,20240118,2024-01-18,40093,ORD00040093,3134,106,5,2056.3,Defective,Processed
262,RET00000262,20240524,2024-05-24,49447,ORD00049447,86,5,4,870.48,Quality Issues,Processed
263,RET00000263,20240616,2024-06-16,94617,ORD00094617,3246,92,1,96.95,Not as Described,Processing
264,RET00000264,20230830,2023-08-30,18104,ORD00018104,3977,131,2,2003.24,Defective,Rejected
265,RET00000265,20230704,2023-07-04,55089,ORD00055089,3811,5,1,197.49,Damaged in Transit,Processing
266,RET00000266,20231208,2023-12-08,81958,ORD00081958,4626,49,6,934.32,Other,Processed
267,RET00000267,20241117,2024-11-17,47330,ORD00047330,3699,47,3,300.93,Wrong Item,Rejected
268,RET00000268,20240331,2024-03-31,74487,ORD00074487,3868,108,4,3537.4,Defective,Processed
269,RET00000269,20230430,2023-04-30,67002,ORD00067002,1342,87,1,895.55,Wrong Item,Pending
270,RET00000270,20240220,2024-02-20,77489,ORD00077489,1462,46,3,745.38,Quality Issues,Pending
271,RET00000271,20240131,2024-01-31,26972,ORD00026972,4797,95,3,1220.46,Other,Rejected
272,RET00000272,20230221,2023-02-21,7538,ORD00007538,569,75,1,855.42,Other,Processing
273,RET00000273,20231201,2023-12-01,66600,ORD00066600,3811,9,6,4186.44,Not as Described,Pending
274,RET00000274,20240402,2024-04-02,11630,ORD00011630,1875,1,1,317.04,Not as Described,Pending
